,index_code,name,const,hot,601989,600409,601600,000839,000792,600256,600312,000400
0,000001,上证指数,1478.0,,,0.9304307423408545,0.973518047510904,0,-0.23909456949526423,0.9395507243382134,0.6872480633983313,0.8744636587536132
1,000004,工业指数,977.0,,,0.9297268105426225,0.9724959729215544,0,-0.24203407723553458,0.9432088496026042,0.6990801741653304,0.8781575746690029
2,000009,上证380,380.0,,,,,0,,,,
3,000010,上证180,180.0,,,0.9322581208473759,0.9678433116387323,0,-0.2665454759739189,0.9467656565287687,0.6916154480831532,0.8811123516184186
4,000015,红利指数,50.0,红利/高股息,,0.9353262680285587,0.9725804051702398,0,-0.24467668306836052,0.9451801134112581,0.6962334641235142,0.8774913711966631
5,000016,上证50,50.0,,,0.9284744874318789,0.9726115117881764,0,-0.23459096104378832,0.9352740239562287,0.6795291509059264,0.8693821895446993
6,000018,180金融,47.0,,,0.924376217833839,0.9653903326242934,0,-0.26115831606293977,0.9379482948309985,0.6793753947906489,0.8690984526853182
7,000019,治理指数,295.0,绿色/ESG,,0.9320999139533287,0.9667145857878854,0,-0.2710508729911023,0.9473797878595981,0.6916509986300381,0.8818301436106456
8,000020,中型综指,465.0,,,0.926653677083416,0.9528463038697549,0,-0.30528979331791684,0.9580443757682703,0.7114429365203798,0.8961925149316176
9,000021,180治理,100.0,绿色/ESG,,0.9308204515884326,0.9684640968361676,0,-0.2646291454125011,0.9437660754687548,0.687123941823866,0.877697225844312
10,000025,180基建,23.0,,,0.8937463895878333,0.941776159938575,0,0.22478516978610322,0.8941015765075648,0.469173685676555,0.7812611427791071
11,000026,180资源,19.0,,,0.8770800071222774,0.9616508153386265,0,0.1916412187653155,0.9319731109979311,0.5246505082096494,0.8167859281862023
12,000027,180运输,9.0,,,0.9273722273032763,0.9556270178484407,0,0.271409958670555,0.9303853750176595,0.520546224991977,0.8244374204277306
13,000028,180成长,60.0,,,0.8292172875989822,0.9501929323494747,0,0.49124301929320857,0.9028375451475671,0.38744929489564306,0.7845795488072042
14,000029,180价值,60.0,,,0.8287515739277609,0.9488512909575122,0,0.48395518870829596,0.8962074133356812,0.37297038873006766,0.7798102178153506
15,000030,180R成长,145.0,,,0.8319983816200524,0.9501471848734606,0,0.4913991381225592,0.9042664788925322,0.38354101486653425,0.784791349887349
