,index_code,name,const,hot,601989,600409,601600,000839,000792,600256,600312,000400
0,000001,上证指数,1478.0,,0.8230893047415676,0.8838342913750173,0.9102874825145439,0,0.7919492768652057,0.9262408890755248,0.5756836436818561,0.9471207769748422
1,000004,工业指数,977.0,,0.8669371806905553,0.9079100782787505,0.9303613452356129,0,0.7808745792796662,0.9458908533391973,0.6024827983237163,0.9543472860093577
2,000009,上证380,380.0,,0.828658982993969,0.8681053779196465,0.8678587645090149,0,0.8850053504373692,0.8742036846180891,0.4816566431760646,0.9510633538440595
3,000010,上证180,180.0,,0.7998418089543203,0.863218329097484,0.9065480439226855,0,0.7630617453371003,0.9239767913597481,0.5877263201557457,0.9377304559446749
4,000015,红利指数,50.0,红利/高股息,0.8451822733746863,0.9037488615282074,0.9388243347873321,0,0.773124718351097,0.9441188368772571,0.5833748979272679,0.9502042793327542
5,000016,上证50,50.0,,0.7030874627236822,0.7916833818910733,0.847762007449626,0,0.6972434449780496,0.8696483958770448,0.5545030730110098,0.8776189952989947
6,000018,180金融,47.0,,0.5633875195712501,0.7088688245725069,0.7559270900815918,0,0.7297883434954542,0.7674091127893463,0.4121593311239655,0.8109617418539282
7,000019,治理指数,295.0,绿色/ESG,0.8304961512046841,0.8827999114217618,0.9200516603463677,0,0.7887121184218993,0.9356071105145746,0.5913001864505898,0.9539020408459593
8,000020,中型综指,465.0,,0.6825133952035004,0.7754881352664819,0.7543624152196731,0,0.9423413507958243,0.7478330076867925,0.2955029578621665,0.8748722783003061
9,000021,180治理,100.0,绿色/ESG,0.796022276183891,0.8579216481152504,0.9085226882580282,0,0.7331694641650669,0.9274437045408382,0.6080663374948662,0.9279251976105071
10,000025,180基建,23.0,,0.9087056971576214,0.8588007178260911,0.9268476032508651,0,0.5724542438593286,0.9664462981169756,0.7975726004053857,0.9024551398327968
11,000026,180资源,19.0,,0.878118233241109,0.8967024344369438,0.9719184500042379,0,0.675879481033461,0.973071415903173,0.6419492930796149,0.9308655375387097
12,000027,180运输,9.0,,0.9133708219221255,0.89966466362349,0.9610552281717528,0,0.625552927759408,0.9806662069829378,0.7402679519801686,0.907713590070941
13,000028,180成长,60.0,,0.6723185408618385,0.7927051355423334,0.8243485647071076,0,0.7915919360384456,0.8338169452978672,0.46146729722314284,0.8841499783092315
14,000029,180价值,60.0,,0.6955718440988796,0.7860386561303838,0.848081751881024,0,0.67603852966709,0.8680162167614183,0.5655463655773856,0.8630105843559546
15,000030,180R成长,145.0,,0.8059869329558157,0.8734235326802743,0.9026202514921704,0,0.807955271723916,0.9162006149547691,0.5543887286832322,0.9490344788987833
16,000031,180R价值,145.0,,0.787090999833645,0.8470278473885179,0.9034844280424111,0,0.7146440296406054,0.923520506130795,0.6113213564672705,0.919436222256563
17,000042,上证央企,50.0,国企改革,0.8258829074557543,0.8611870801764526,0.9188389343394551,0,0.6520981573841516,0.944263697992387,0.6765687598829432,0.9101296573420374
18,000043,超大盘,20.0,,0.7761180480953658,0.8190170278328947,0.882966865969766,0,0.6698536720809541,0.9132942367589637,0.6372014169509393,0.905978609825109
19,000044,上证中盘,130.0,,0.8803820899816384,0.9102766173156633,0.9360966858526842,0,0.8079391522842577,0.946978467848006,0.5998789849238282,0.9672333509779725
20,000045,上证小盘,320.0,,0.8598897215190688,0.8892839780256935,0.8916627976702084,0,0.8591754293058323,0.9001638952602187,0.5285739683365703,0.960125095677432
21,000046,上证中小,450.0,,0.8731542952831123,0.9029463555674547,0.9168331608421438,0,0.8372233350915106,0.9265160271493221,0.565504244727879,0.9672054536591751
22,000047,上证全指,500.0,,0.830516193402631,0.8836353452609218,0.9140627977650748,0,0.805035497336776,0.9288209303782945,0.5764142775167875,0.9579346110811523
23,000048,责任指数,100.0,绿色/ESG,0.7404576178086901,0.8322105977027203,0.8647790293326546,0,0.7772546446766071,0.8781450040683263,0.5240966861860334,0.9158330747886426
24,000049,上证民企,50.0,,0.8145534193006738,0.8809255110792594,0.9049705204130258,0,0.8000054826351203,0.9240287889095063,0.5716523856573407,0.9482578222775423
25,000050,50等权,50.0,,0.7710473961860431,0.8320725641974526,0.8848623737781371,0,0.6990062364772843,0.911131499244639,0.6094209004123642,0.9068549761442666
26,000051,180等权,180.0,,0.8574984625057666,0.8999135356703228,0.9223890250107317,0,0.8078137371349886,0.9363825207290439,0.5889794073179033,0.9622838467308057
27,000052,50基本,50.0,Smart Beta,0.6415942411114102,0.7427207124624127,0.8045292349317517,0,0.6353151514483668,0.8298484579909177,0.54616289206067,0.8235716922555509
28,000053,180基本,180.0,Smart Beta,0.7457233144079066,0.8248157154141822,0.8809290366262543,0,0.6952563032997781,0.8995439054510658,0.591551216885276,0.8921934071259983
29,000054,上证海外,49.0,,0.7215155318982182,0.7965225027881405,0.8632880658212722,0,0.6401319258033791,0.8880839435209195,0.6126256217898451,0.8658885368630204
30,000055,上证地企,50.0,国企改革,0.7128201786574231,0.8093382142660359,0.8461639472516197,0,0.8402742317124027,0.8515322151547413,0.4538928196088727,0.9239650561657671
31,000056,上证国企,100.0,国企改革,0.7971208833978201,0.8565884409465909,0.9072615366704331,0,0.735188868813718,0.9253757051336058,0.6033701961798901,0.9311964196491542
32,000057,全指成长,150.0,,0.7099114516521762,0.8198152572191145,0.8451836961504283,0,0.8085744830687385,0.8556906277622447,0.479054414434251,0.9065123086979572
33,000058,全指价值,150.0,,0.7693934327019974,0.841653226940298,0.8926142118323741,0,0.7278939663684164,0.9098946424518226,0.5907452704339782,0.913835945393808
34,000059,全R成长,399.0,,0.8178008366698486,0.8792472192618196,0.8965433919556292,0,0.838331341760208,0.9097440540245773,0.5380573560744898,0.9565226393939465
35,000060,全R价值,399.0,,0.8373892524351143,0.8830018037081395,0.925275804593176,0,0.7704938292654495,0.9410078611414511,0.606943458189262,0.9540242575102653
36,000062,上证沪企,50.0,区域,0.7697540878422933,0.8345265795290389,0.8626662009500098,0,0.8256932385719851,0.8847484982290384,0.536146422738133,0.9455374978938472
37,000063,上证周期,50.0,,0.6385391779506325,0.7611920672693537,0.8170122040638094,0,0.7265524673986197,0.8277576989403639,0.47743495019467985,0.8511203092245643
38,000064,非周期,100.0,,0.9043428870536632,0.9063537391836378,0.9377701366086867,0,0.7421840082406015,0.9630216498352105,0.664665567171168,0.9658641947061188
39,000065,上证龙头,73.0,,0.7896783603246527,0.8679050684431298,0.8943088939098586,0,0.8051248760675556,0.907083254681079,0.5348471260600485,0.9405853961924642
40,000066,上证商品,50.0,,0.9032445438282171,0.9229551522406528,0.9733240818665408,0,0.7420441929133808,0.9707543716506928,0.623446389561276,0.9491690732549269
41,000067,上证新兴,50.0,,0.8915120432710283,0.9140887596346983,0.9170019178987115,0,0.8092522460915654,0.9311114291936464,0.5781366529250911,0.9662931129914999
42,000068,上证资源,50.0,,0.8850982513170655,0.9155444700651391,0.9765829333133396,0,0.7406863085499938,0.9677883173656874,0.6054124181960476,0.9467294255780898
43,000069,消费80,80.0,,0.8302340811347958,0.8779913453689435,0.8866852506734337,0,0.8302163292729804,0.903410876334994,0.5522419669237046,0.9568905319785718
44,000070,能源等权,30.0,,0.8734473192677233,0.9202546567865848,0.9807484143393884,0,0.7320138501111736,0.9543273545213631,0.5648238491114451,0.9316641524072612
45,000071,材料等权,50.0,,0.8772303671232947,0.9095417168675168,0.9377731583735128,0,0.8155086523461492,0.9361433287641985,0.5541840644671062,0.9539969158802047
46,000072,工业等权,50.0,,0.9458934284776982,0.9083401702414927,0.9370173000330544,0,0.6977031187747497,0.9668899048311405,0.7154217734916606,0.9566709398010935
47,000073,可选等权,50.0,,0.8060828282964119,0.8513573786134914,0.8385518361845156,0,0.8653548821981799,0.8591479438257289,0.5003044421173224,0.941917020127869
48,000074,消费等权,30.0,,0.8893489975014136,0.9094454892605522,0.9216419860268242,0,0.8118042831697685,0.9350741906408055,0.5998520841969909,0.9599523318823321
49,000075,医药等权,45.0,,0.7668702716871857,0.8517309899798691,0.8183877584946985,0,0.8750978897536764,0.8194783319669133,0.42869103939641506,0.9091886768530005
50,000076,金融等权,30.0,,0.5508148377312405,0.7033041527770801,0.7425485291755086,0,0.7354236380151672,0.7545950207199609,0.39243445721189,0.799824029363056
51,000077,信息等权,41.0,,0.7116331017369403,0.8085047959930353,0.7891408967790782,0,0.9073199242536268,0.8000665361305606,0.37146000718550254,0.9067082638905999
52,000078,电信等权,18.0,,0.67912241393912,0.7331728563280127,0.7271849616573153,0,0.8883456656503987,0.7463220938388733,0.3824844351210939,0.8903611046881309
53,000079,公用等权,30.0,,0.9469127687095951,0.9239250925760776,0.957639781752385,0,0.7407616294973232,0.9609556146683906,0.6551545733059714,0.9467739390223702
54,000091,沪财中小,200.0,,0.719679873590757,0.8014316790110138,0.7773979150308243,0,0.9352011415643265,0.7739332996060281,0.3361977228950466,0.8933138319234526
55,000092,资源50,50.0,,0.8968590244030429,0.9217688984898466,0.9717653552474479,0,0.7431106414650316,0.9701853534811075,0.6206351852216582,0.9504571989229056
56,000093,180分层,180.0,,0.888414370637799,0.9122315927164792,0.9441744528044715,0,0.7748921699201399,0.9594695079874128,0.634380348190994,0.9628759767489556
57,000094,上证上游,55.0,,0.8920570026915274,0.9114537055271906,0.9785521660399441,0,0.7069284882692393,0.9775044560931412,0.6457412881507305,0.9428626077940917
58,000095,上证中游,172.0,,0.9123164949350276,0.9093942510122595,0.9261992335856822,0,0.7806451909555375,0.9486746192403256,0.6343538887408441,0.9719773362094962
59,000096,上证下游,178.0,,0.8447000263588594,0.8888244246853746,0.9053829722853421,0,0.8294172327034846,0.9188959267688653,0.5581931099814493,0.9629373287338818
60,000097,高端装备,60.0,,0.8689648305302664,0.8917472609036069,0.8760774522994064,0,0.8411358428998365,0.8897940123875019,0.5269233092516362,0.9569271618039833
61,000098,上证F200,200.0,Smart Beta,0.7802398605473378,0.8474908050698412,0.9044618383038967,0,0.7105160543725381,0.9203185679133221,0.6049380653782243,0.9133769932332848
62,000102,沪投资品,50.0,,0.923447477352955,0.9163473304020369,0.962525215324437,0,0.7503935963160012,0.9697712965647163,0.6411860793324292,0.9682374744776109
63,000103,沪消费品,50.0,,0.7849583627231008,0.8660251642683793,0.850832328930483,0,0.8676215286663507,0.8553486157589685,0.46317530254036465,0.9326702649331263
64,000104,380能源,15.0,,0.8642749299827298,0.9218194838847659,0.9785180643324081,0,0.7136299568093074,0.9320955283964838,0.5263540618653516,0.9094333862152776
65,000105,380材料,54.0,,0.8656075646908217,0.8975648670272213,0.9089665844612895,0,0.8549686624446488,0.9121879412809305,0.5280338175790199,0.9469445418956481
66,000106,380工业,110.0,,0.8505046307722296,0.8521904851571726,0.8580381279395016,0,0.8586494776876711,0.8776746036414642,0.5317746885165722,0.9600906086984766
67,000107,380可选,67.0,,0.7947769476965446,0.8422484001798737,0.8280841768965305,0,0.890846784868429,0.8376673521193784,0.4498597087463077,0.9300068201883591
68,000108,380消费,21.0,,0.8694858330568033,0.9008248960808202,0.9291302156424903,0,0.8345939068953627,0.924955923771774,0.5430982762172515,0.9458719168458958
69,000109,380医药,36.0,,0.777357106907265,0.8519651084776917,0.8166840770516186,0,0.8796145052169158,0.8194809092192974,0.418843803128589,0.9186384856785721
70,000110,380金融,21.0,,0.7284360756507655,0.749670528966645,0.7637907392155706,0,0.9119452615701701,0.778404060603691,0.40410090706409224,0.8752985015702611
71,000111,380信息,30.0,,0.5838559615759462,0.7226895521220331,0.6853308031104717,0,0.9309428861946167,0.6776020668128933,0.19711910068446295,0.8246315642115257
72,000112,380电信,7.0,,0.6421518727768869,0.7497516664143772,0.6798919213385871,0,0.9011468789161876,0.6771633426439394,0.22642050164662098,0.8207459040053309
73,000113,380公用,19.0,,0.8992382391692818,0.8943089228920974,0.9184568738509951,0,0.8273472141466717,0.9239070844743802,0.5642220022697821,0.9648044007362916
74,000114,持续产业,40.0,绿色/ESG,0.8967683081294714,0.8960536235048334,0.9091538327453816,0,0.8027553384351939,0.9381465372555967,0.6244587540721839,0.967195684097416
75,000115,380等权,380.0,,0.7919901054196874,0.8442964238090555,0.8342566207175536,0,0.9074389503986922,0.8368990586551006,0.42551799608921803,0.9329374410107538
76,000117,380成长,120.0,,0.8030555084347035,0.8629996423941635,0.8572437921193677,0,0.8920627692362323,0.8628354888424528,0.459055818331141,0.9422991874877431
77,000118,380价值,120.0,,0.8767399121808309,0.8908212058663225,0.8990061233458244,0,0.8484978334951068,0.9047050263099555,0.5380209348009615,0.960720374170969
78,000119,380R成长,296.0,,0.8020147890348549,0.8551958274674355,0.8492413788791306,0,0.8961032137740796,0.8570792355518795,0.45704603098857527,0.9411104929992725
79,000120,380R价值,296.0,,0.8506633827447588,0.8773530007153139,0.8824247428774616,0,0.8718716130123717,0.8872397641918163,0.5024963885469912,0.9572254664129921
80,000121,医药主题,50.0,,0.7798224545505117,0.8525612319122022,0.824443362447208,0,0.8821322571548104,0.8313876441745612,0.44166836252133923,0.9232368542921853
81,000122,农业主题,40.0,,0.8497675765560886,0.8936929844116555,0.8801859008956283,0,0.8507485987127142,0.8797428994407476,0.5009704426762892,0.9180488991316148
82,000123,180动态,90.0,Smart Beta,0.8227310823222694,0.8651722043366843,0.9094271175520329,0,0.7583891176978034,0.9352878063200517,0.6251415812393554,0.9455221008276476
83,000125,180稳定,90.0,低风险,0.7602044695717141,0.8470473723977746,0.8881971173352174,0,0.7566271197048239,0.9005689746692204,0.5531789578679365,0.9153548038082361
84,000126,消费50,50.0,,0.8443461501676844,0.8834540555416536,0.9053802492390124,0,0.8066899290919306,0.9233927863256846,0.5811846040849988,0.9623339187847944
85,000128,380基本,380.0,Smart Beta,0.8637843811415196,0.8841400839043547,0.8986871770109176,0,0.8622448690251105,0.900905463514873,0.5173003862147002,0.9619841987001502
86,000129,180波动,100.0,Smart Beta,0.8391246799913368,0.8923710411736345,0.9273914874400345,0,0.7936682636330166,0.9350742659137019,0.5818764266597802,0.9556992361711617
87,000130,380波动,100.0,Smart Beta,0.8100186168929975,0.8474083396105873,0.8507432176472046,0,0.8983072123116663,0.8532564227410505,0.45376563986508744,0.9412994558175859
88,000131,上证高新,50.0,,0.7704051499769243,0.8463435508222468,0.8275809264125175,0,0.89448155498865,0.8288134241595836,0.394564712631894,0.925486384103892
89,000132,上证100,100.0,,0.8316622805551965,0.8730248085634511,0.8687916221508438,0,0.8743881525850317,0.8803386970419995,0.49616646794485175,0.9516817470247113
90,000133,上证150,150.0,,0.6877478368016066,0.7670209428862481,0.7430626171446885,0,0.9406030156382998,0.7422146712682737,0.31372981595392085,0.8759197151068725
91,000134,上证银行,22.0,,0.4441344416368734,0.6009779708876128,0.6575825080831667,0,0.6076306441705985,0.6789827967774326,0.3915891231301334,0.7023545581422319
92,000135,180高贝,60.0,Smart Beta,0.7508906691500906,0.8444046464463935,0.8681834948464909,0,0.8272274900923681,0.8766928874675884,0.49944041920379895,0.9278463208075579
93,000136,180低贝,60.0,低风险,0.8147840103815006,0.8848464410906917,0.8767182684481319,0,0.8468429244397531,0.8804471259030875,0.4880590512588329,0.9386977740427801
94,000137,380高贝,100.0,Smart Beta,0.7698129104532755,0.8245119046550069,0.8181652908252414,0,0.9095050097426479,0.8217313948694517,0.4091799375803586,0.9296054294659275
95,000138,380低贝,100.0,低风险,0.8644344949851084,0.88959822104056,0.8956498978389903,0,0.8563494118198219,0.9064293259294605,0.5492811332115547,0.9569339895567399
96,000141,380动态,190.0,Smart Beta,0.8400798854289863,0.8740922999983604,0.8796695224772577,0,0.8765146148802817,0.8870070325618642,0.4995167832356847,0.9543901369099321
97,000142,380稳定,190.0,低风险,0.8128103234237769,0.8583845864685707,0.8511005868896807,0,0.8922762973301617,0.8565010697803643,0.45979778136493976,0.9443635351860442
98,000145,优势资源,46.0,,0.8899804989109237,0.9118562754829725,0.9689567214704465,0,0.7611370992391535,0.961091662877631,0.5915778566110708,0.9562141017116217
99,000146,优势制造,50.0,,0.9137579705401703,0.9137483740040357,0.8983488683072923,0,0.7837272431063917,0.9219627510782994,0.6068536195245148,0.9588234912508874
100,000147,优势消费,50.0,,0.8238406634211902,0.8899063330355287,0.86698498984874,0,0.8412014626984964,0.8720264567289614,0.5043539249939385,0.931318093435048
101,000148,消费领先,100.0,,0.8060586933187028,0.8584575063343365,0.8854482491431982,0,0.8329165778717967,0.9042793879850685,0.5492497353193877,0.9578928942515677
102,000149,180红利,30.0,红利/高股息,0.7396661485821041,0.8203263347150274,0.8791870016688805,0,0.635110428175919,0.8967570249363757,0.6151864256803306,0.8584294720525807
103,000150,380红利,30.0,红利/高股息,0.8324101688288139,0.8904421760810501,0.8968069762020756,0,0.863599596222418,0.8948599758431361,0.4831040253132044,0.9579095288629971
104,000151,上国红利,30.0,红利/高股息,0.809104924199452,0.8721146009958166,0.9334651157231033,0,0.7018938554394267,0.9414266344101289,0.6153568466961709,0.9123325036473771
105,000152,上央红利,30.0,红利/高股息,0.8594171205101404,0.8850114407746346,0.9453436254408736,0,0.6149368582392868,0.9619439335561901,0.6972104035950307,0.8973304597729039
106,000153,上民红利,30.0,红利/高股息,0.849939831947672,0.8954308937808599,0.8930690820139042,0,0.836464988067697,0.9108215055388764,0.5378095873494092,0.9588259255250126
107,000155,市值百强,100.0,,0.7650452094693506,0.8381956894806024,0.8888880707685591,0,0.7396211872541064,0.907738860602122,0.5769404093660827,0.9182557601996765
108,000158,上证环保,40.0,绿色/ESG,0.843829096752504,0.8846909586759957,0.8694903052233683,0,0.8630813998576253,0.880861741047767,0.493569796592719,0.955426729419043
109,000159,沪股通,573.0,,0.824782744110688,0.8798245739598812,0.9092440275773473,0,0.8148759201534503,0.9235190431145578,0.5649206060965729,0.9578244485163878
110,000160,沪新丝路,52.0,区域,0.9115235993291212,0.8574535957727122,0.8997501692041203,0,0.44007551706123166,0.9607459762649334,0.7320984238931827,0.9211074806847274
111,000161,沪中国造,141.0,,0.8163959243301858,0.840582397438674,0.8668893728108498,0,0.8887219472719529,0.9320647528640661,0.9111534264579759,0.9005848676837105
112,000162,沪互联+,60.0,,0.814080059414708,0.8583309699736152,0.8732316657678239,0,0.9098183521325328,0.9243745314113594,0.8974784842426312,0.9033266988278703
113,000171,新兴成指,100.0,,,,,0,,,,
114,000921,300R价值,228.0,,0.791830214987745,0.864913796322018,0.9132039945717562,0,0.7552763356734683,0.9206131541723163,0.5734945636145784,0.928170067826237
115,000300,沪深300,300.0,,0.7940961674975615,0.8716575739150274,0.9007504674773558,0,0.8005587323985579,0.9100924781514644,0.545652522832517,0.9409531002756365
116,000801,资源80,80.0,,0.8726660077084274,0.9191333061345627,0.9412233914614019,0,0.80271636636361,0.9427561992466779,0.5664316554331367,0.9580082355280531
117,000802,500沪市,235.0,,0.8538822292059058,0.8928715455446502,0.887112234283073,0,0.8532209912678324,0.8970776938567013,0.5224488462405453,0.9511358572578916
118,000803,300波动,100.0,Smart Beta,0.8368269594887204,0.8982341608675769,0.9363818233560418,0,0.784406209635342,0.9377357920858707,0.5782617086684749,0.9478822732826282
119,000804,500波动,100.0,Smart Beta,0.834046514598483,0.8896078263701568,0.8810225076717312,0,0.8549254870942855,0.8847439117523648,0.49072272907628933,0.9424911939254703
120,000805,A股资源,50.0,,0.883192424173524,0.9269365151257206,0.9686336598307802,0,0.7551727119273474,0.9586560014746058,0.5834947412781406,0.9420433158145396
121,000806,消费服务,100.0,,0.7767885204359455,0.8411446629291478,0.8597262835802523,0,0.8323303929464136,0.8817485609704611,0.5283970464372558,0.9459838214602391
122,000807,食品饮料,50.0,,0.7723716804022426,0.8708931946019792,0.8949384266634405,0,0.8296542031515745,0.8816126655917359,0.4884897925661523,0.920585304143428
123,000808,医药生物,100.0,,0.7914598533501804,0.855301988726933,0.8327766639646791,0,0.8524930079379186,0.8572234451142493,0.5022767816286742,0.9320756811589466
124,000809,细分农业,50.0,,0.8316613949792101,0.8858759816580489,0.8613521079678469,0,0.8590072893748459,0.8646892622204629,0.4615846928889246,0.9264401652843899
125,000810,细分能源,50.0,,0.8871538752889344,0.912349735071116,0.9798461539249302,0,0.6486432961885925,0.9773836490613975,0.6683153294461665,0.9107888394641341
126,000811,细分有色,50.0,,0.8439973437899932,0.8809717789165894,0.9313657171285155,0,0.8449731160871365,0.9184274753152416,0.5077519124134614,0.9493415684652637
127,000812,细分机械,50.0,,0.9278803827361952,0.9109333020772934,0.9376042715575731,0,0.73464240490944,0.9650322420110699,0.6819598350578376,0.9696087245958073
128,000813,细分化工,50.0,,0.7896896862067635,0.858884771787737,0.818185839302743,0,0.8798406058149308,0.8340251686838991,0.44910125326616607,0.9196045998697935
