,index_code,name,const,hot,601989,600409,601600,000839,000792,600256,600312,000400
65,000105,380材料,54.0,,,,,0,,,,
66,000106,380工业,110.0,,,,,0,,,,
67,000107,380可选,67.0,,,,,0,,,,
68,000108,380消费,21.0,,,,,0,,,,
69,000109,380医药,36.0,,,,,0,,,,
70,000110,380金融,21.0,,,,,0,,,,
71,000111,380信息,30.0,,,,,0,,,,
72,000112,380电信,7.0,,,,,0,,,,
73,000113,380公用,19.0,,,,,0,,,,
74,000114,持续产业,40.0,绿色/ESG,,,,0,,,,
75,000115,380等权,380.0,,,,,0,,,,
76,000117,380成长,120.0,,,,,0,,,,
77,000118,380价值,120.0,,,,,0,,,,
78,000119,380R成长,296.0,,,,,0,,,,
79,000120,380R价值,296.0,,,,,0,,,,
80,000121,医药主题,50.0,,,,,0,,,,
81,000122,农业主题,40.0,,,,,0,,,,
82,000123,180动态,90.0,Smart Beta,,,,0,,,,
83,000125,180稳定,90.0,低风险,,,,0,,,,
84,000126,消费50,50.0,,,,,0,,,,
85,000128,380基本,380.0,Smart Beta,,,,0,,,,
86,000129,180波动,100.0,Smart Beta,,,,0,,,,
87,000130,380波动,100.0,Smart Beta,,,,0,,,,
88,000131,上证高新,50.0,,,,,0,,,,
89,000132,上证100,100.0,,,,,0,,,,
90,000133,上证150,150.0,,,,,0,,,,
91,000134,上证银行,22.0,,,,,0,,,,
92,000135,180高贝,60.0,Smart Beta,,,,0,,,,
93,000136,180低贝,60.0,低风险,,,,0,,,,
94,000137,380高贝,100.0,Smart Beta,,,,0,,,,
95,000138,380低贝,100.0,低风险,,,,0,,,,
96,000141,380动态,190.0,Smart Beta,,,,0,,,,
97,000142,380稳定,190.0,低风险,,,,0,,,,
98,000145,优势资源,46.0,,,,,0,,,,
99,000146,优势制造,50.0,,,,,0,,,,
100,000147,优势消费,50.0,,,,,0,,,,
101,000148,消费领先,100.0,,,,,0,,,,
102,000149,180红利,30.0,红利/高股息,,,,0,,,,
103,000150,380红利,30.0,红利/高股息,,,,0,,,,
104,000151,上国红利,30.0,红利/高股息,,,,0,,,,
105,000152,上央红利,30.0,红利/高股息,,,,0,,,,
106,000153,上民红利,30.0,红利/高股息,,,,0,,,,
107,000155,市值百强,100.0,,,,,0,,,,
108,000158,上证环保,40.0,绿色/ESG,,,,0,,,,
109,000159,沪股通,573.0,,,,,0,,,,
110,000160,沪新丝路,52.0,区域,,,,0,,,,
111,000161,沪中国造,141.0,,,,,0,,,,
112,000162,沪互联+,60.0,,,,,0,,,,
113,000171,新兴成指,100.0,,,,,0,,,,
114,000921,300R价值,228.0,,,0.763844731390294,0.9827643316298549,0,-0.25211209748171126,0.9581858089200257,0.9316415878350636,0.7354449860764705
115,000300,沪深300,300.0,,,0.7347000930494794,0.9914108801983236,0,-0.2963207808893801,0.9488830628535587,0.9193836577777297,0.7271811787958953
116,000801,资源80,80.0,,,,,0,,,,
117,000802,500沪市,235.0,,,,,0,,,,
118,000803,300波动,100.0,Smart Beta,,,,0,,,,
119,000804,500波动,100.0,Smart Beta,,,,0,,,,
120,000805,A股资源,50.0,,,,,0,,,,
121,000806,消费服务,100.0,,,,,0,,,,
122,000807,食品饮料,50.0,,,,,0,,,,
123,000808,医药生物,100.0,,,,,0,,,,
124,000809,细分农业,50.0,,,,,0,,,,
125,000810,细分能源,50.0,,,,,0,,,,
126,000811,细分有色,50.0,,,,,0,,,,
127,000812,细分机械,50.0,,,,,0,,,,
128,000813,细分化工,50.0,,,,,0,,,,
129,000814,细分医药,50.0,,,,,0,,,,
130,000815,细分食品,50.0,,,,,0,,,,
131,000816,细分地产,50.0,,,,,0,,,,
132,000818,细分金融,50.0,,,,,0,,,,
133,000819,有色金属,50.0,,,,,0,,,,
134,000956,国企200,200.0,国企改革,,,,0,,,,
135,000820,煤炭指数,29.0,,,,,0,,,,
136,000821,300红利,50.0,红利/高股息,,,,0,,,,
137,000822,500红利,50.0,红利/高股息,,,,0,,,,
138,000824,国企红利,100.0,红利/高股息,,,,0,,,,
139,000825,央企红利,30.0,红利/高股息,,,,0,,,,
140,000826,民企红利,30.0,红利/高股息,,,,0,,,,
141,000827,中证环保,100.0,绿色/ESG,,,,0,,,,
142,000828,300高贝,100.0,Smart Beta,,,,0,,,,
143,000829,300低贝,100.0,低风险,,,,0,,,,
144,000830,500高贝,150.0,Smart Beta,,,,0,,,,
145,000831,500低贝,150.0,低风险,,,,0,,,,
146,000838,创业价值,100.0,,,,,0,,,,
147,000839,浙企综指,406.0,区域,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
148,000840,浙江民企,348.0,区域,,,,0,,,,
149,000841,800医药,65.0,,,,,0,,,,
150,000842,800等权,800.0,,,,,0,,,,
151,000843,300动态,150.0,Smart Beta,,,,0,,,,
152,000844,300稳定,150.0,低风险,,,,0,,,,
153,000846,ESG 100,100.0,绿色/ESG,,,,0,,,,
154,000860,结构调整,100.0,国企改革,,,,0,,,,
155,000901,小康指数,100.0,Smart Beta,,0.7072001458465205,0.9902786073086959,0,-0.3257831195765037,0.9389956532020639,0.8911893812197902,0.6951670148140685
156,000903,中证100,100.0,,,0.7168708111741111,0.9932096972399276,0,-0.32021694117925553,0.9404335995730994,0.9067307647944763,0.7134298633570985
157,000904,中证200,200.0,,,0.8131128456874869,0.9573541420629562,0,-0.1611756180871278,0.9580498320279437,0.9488261802056714,0.7881581738035546
158,000905,中证500,500.0,,,0.8427902765167532,0.9142010584716832,0,-0.09711904038782443,0.9334661732635603,0.9552860100493912,0.8205335313288775
159,000906,中证800,800.0,,,0.7611185233721947,0.9844731151923427,0,-0.2534651415875654,0.9574062574733214,0.9333099912641584,0.7442129593448421
160,000908,300能源,13.0,,,0.7038844574048283,0.9833278745176572,0,-0.31350567754592595,0.9511427987249695,0.8760488887200049,0.6669713438248913
161,000909,300材料,37.0,,,0.7928015214754446,0.9701866916481177,0,-0.19354750744773713,0.9576337501483578,0.9407757538882446,0.7750114813068395
162,000910,300工业,60.0,,,0.7781608433244257,0.9751618750126203,0,-0.22386079134793044,0.9532802665462795,0.9497154025529573,0.7606197998148856
163,000911,300可选,37.0,,,0.8206823523210518,0.9486809169080829,0,-0.14811767456873673,0.9488397132721594,0.9641311788397047,0.7937058808856926
164,000912,300消费,13.0,,,0.8199213260545151,0.934671262947808,0,-0.14007060306020086,0.9396562711818517,0.9589629444554176,0.795028375995473
165,000913,300医药,22.0,,,0.8187972005955707,0.9400821638902561,0,-0.11933691639353469,0.9640613444912395,0.9404204354586418,0.755127024250821
166,000914,300金融,72.0,,,0.6864805202977092,0.9858602976853945,0,-0.35044104632087963,0.9120718580605973,0.8876865861901071,0.7140706056535299
167,000915,300信息,28.0,,,0.8321333152195811,0.9049946720968575,0,-0.1109335045513884,0.9161978489876396,0.9592160023150825,0.8356073418774551
168,000916,300电信,7.0,,,0.9064301459179618,0.8479842286731124,0,0.06770406708911782,0.914812490911495,0.8958949754577848,0.7738183110823245
169,000917,300公用,11.0,,,0.7503967229335212,0.9685079192453354,0,-0.2461135145156026,0.9615952349716278,0.9273240428296798,0.725932427367912
170,000918,300成长,100.0,,,0.7061152943818568,0.9946850606713731,0,-0.33412245760472,0.9357055311266209,0.9042813277370155,0.7167423091455788
171,000919,300价值,100.0,,,0.7362951359304141,0.9892367384063292,0,-0.29335427571462325,0.948385839449815,0.9153995711525782,0.715546231776022
172,000920,300R成长,228.0,,,0.7185625570032279,0.9938184421213602,0,-0.3173763354283611,0.9423287543496637,0.9131928176940641,0.7252495458247392
173,000922,中证红利,100.0,红利/高股息,,0.9681765756673406,0.9769581042037212,0,,0.9485357454961629,0.8008982991101071,0.9822488922241858
174,000925,基本面50,50.0,Smart Beta,,,,0,,,,
175,000926,中证央企,341.0,国企改革,,,,0,,,,
176,000927,央企100,100.0,国企改革,,,,0,,,,
177,000928,中证能源,25.0,,,,,0,,,,
178,000929,中证材料,109.0,,,,,0,,,,
179,000930,中证工业,180.0,,,,,0,,,,
180,000931,中证可选,115.0,,,,,0,,,,
181,000932,中证消费,38.0,,,,,0,,,,
182,000933,中证医药,72.0,,,,,0,,,,
183,000934,中证金融,116.0,,,,,0,,,,
184,000935,中证信息,104.0,,,,,0,,,,
185,000936,中证电信,13.0,,,,,0,,,,
186,000937,中证公用,28.0,,,,,0,,,,
187,000939,民企200,200.0,,,,,0,,,,
188,000940,财富大盘,300.0,Smart Beta,,,,0,,,,
189,000941,新能源,50.0,绿色/ESG,,,,0,,,,
190,000942,内地消费,50.0,,,,,0,,,,
191,000943,内地基建,50.0,,,,,0,,,,
192,000944,内地资源,50.0,,,,,0,,,,
193,000945,内地运输,38.0,,,,,0,,,,
194,000946,内地金融,50.0,,,,,0,,,,
195,000947,内地银行,25.0,,,,,0,,,,
196,000948,内地地产,46.0,,,,,0,,,,
197,000949,内地农业,31.0,,,,,0,,,,
198,000950,300基建,34.0,,,,,0,,,,
199,000951,300银行,21.0,,,,,0,,,,
200,000952,300地产,16.0,,,,,0,,,,
201,000953,中证地企,700.0,国企改革,,,,0,,,,
202,000954,地企100,100.0,国企改革,,,,0,,,,
203,000955,中证国企,1041.0,国企改革,,,,0,,,,
204,000957,300运输,18.0,,,,,0,,,,
205,000958,创业成长,99.0,,,,,0,,,,
206,000959,银河99,99.0,,,,,0,,,,
207,000960,中证龙头,99.0,,,,,0,,,,
208,000961,中证上游,50.0,,,,,0,,,,
209,000962,中证中游,250.0,,,,,0,,,,
210,000963,中证下游,200.0,,,,,0,,,,
211,000964,中证新兴,100.0,,,,,0,,,,
212,000965,基本200,200.0,Smart Beta,,,,0,,,,
213,000966,基本400,400.0,Smart Beta,,,,0,,,,
214,000967,基本600,600.0,Smart Beta,,,,0,,,,
215,000968,300周期,125.0,,,,,0,,,,
216,000969,300非周,175.0,,,,,0,,,,
217,000970,ESG 40,40.0,绿色/ESG,,,,0,,,,
218,000971,等权90,90.0,,,,,0,,,,
219,000972,300沪市,186.0,,,,,0,,,,
220,000975,钱江30,30.0,区域,,,,0,,,,
221,000977,内地低碳,50.0,绿色/ESG,,,,0,,,,
222,000978,医药100,100.0,,,,,0,,,,
223,000979,大宗商品,95.0,,,,,0,,,,
224,000980,中证超大,50.0,,,,,0,,,,
225,000981,300分层,300.0,,,,,0,,,,
226,000982,500等权,500.0,,,,,0,,,,
227,000983,智能资产,180.0,,,,,0,,,,
228,000984,300等权,300.0,,,,,0,,,,
229,000998,中证TMT,100.0,,,,,0,,,,
230,399001,深证成指,,,,0.7464948886526561,0.9878428867666761,0,-0.27130426560739607,0.9471183273304355,0.9225974555445449,0.7439413117006711
231,399231,农林指数,28.0,,,,,0,,,,
232,399234,水电指数,44.0,,,,,0,,,,
233,399235,建筑指数,53.0,,,,,0,,,,
234,399236,批零指数,67.0,,,,,0,,,,
235,399238,餐饮指数,6.0,,,,,0,,,,
236,399242,商务指数,31.0,,,,,0,,,,
237,399248,文化指数,32.0,,,,,0,,,,
238,399314,巨潮大盘,200.0,,,0.7279868335931131,0.9927172919158717,0,-0.30612482382199513,0.9450479216820596,0.9152324714531508,0.724052339725359
239,399315,巨潮中盘,300.0,,,0.8333315425545271,0.9345419556053733,0,-0.12196581626799397,0.947797100263117,0.960178214996708,0.804837414404318
240,399971,中证传媒,50.0,,,,,0,,,,
241,399316,巨潮小盘,500.0,,,0.8520678313921553,0.8976978846988448,0,-0.07553178560342473,0.9215887584693621,0.9472126121546592,0.8239821771827179
242,399319,资源优势,100.0,,,0.7342170848342631,0.9899705279280072,0,-0.2890951067971716,0.9544073472153829,0.9199392216574696,0.7245124313468979
243,399321,国证红利,50.0,,,0.7261265059960926,0.9909766446529559,0,-0.30438433922723124,0.9460405159433336,0.9190116664291151,0.7253097447486554
244,399335,深证央企,,,,,,0,,,,
245,399337,深证民营,,,,,,0,,,,
246,399353,国证物流,40.0,,,0.7611274155973149,0.9803860398502346,0,-0.25117159880940615,0.9445262446682959,0.9476042404967764,0.7534237709472715
247,399354,分析师指数,100.0,,,,,0,,,,
248,399355,长三角指数,40.0,,,0.7654853469249697,0.9825901928019344,0,-0.25019138186647777,0.9563025104392288,0.9338883562992054,0.7397736649493084
249,399356,珠三角指数,40.0,,,0.6943264269287601,0.9880203601678973,0,-0.34081048979674156,0.9183664395853386,0.8902008623770574,0.7139678912395981
250,399357,环渤海指数,40.0,,,0.7019107539375252,0.9949081065743692,0,-0.3394357130522446,0.9348570649607689,0.9079415892240306,0.7156560948121686
251,399360,新硬件,100.0,,,,,0,,,,
252,399361,国证商业,40.0,,,,,0,,,,
253,399362,国证民营,180.0,,,,,0,,,,
254,399363,计算机指,100.0,,,,,0,,,,
255,399392,国证新兴,100.0,,,,,0,,,,
256,399398,绩效指数,100.0,,,,,0,,,,
257,399402,周期100,100.0,,,,,0,,,,
258,399403,防御100,100.0,,,,,0,,,,
259,399412,国证新能,70.0,,,,,0,,,,
260,399417,新能源车,50.0,,,,,0,,,,
261,399418,国证国安,100.0,,,,,0,,,,
262,399419,国证高铁,50.0,,,,,0,,,,
263,399420,国证保证,30.0,,,,,0,,,,
264,399431,国证银行,,,,,,0,,,,
265,399435,国证农牧,41.0,,,,,0,,,,
266,399437,国证证券,,,,,,0,,,,
267,399439,国证油气,,,,,,0,,,,
268,399440,国证钢铁,,,,,,0,,,,
269,399441,生物医药,30.0,,,,,0,,,,
270,399701,深证F60,60.0,Smart Beta,,,,0,,,,
271,399702,深证F120,120.0,Smart Beta,,,,0,,,,
272,399703,深证F200,200.0,Smart Beta,,,,0,,,,
273,399704,深证上游,50.0,,,,,0,,,,
274,399705,深证中游,150.0,,,,,0,,,,
275,399706,深证下游,100.0,,,,,0,,,,
276,399707,CSSW证券,32.0,,,,,0,,,,
277,399802,500深市,265.0,,,,,0,,,,
278,399803,工业4.0,30.0,,,,,0,,,,
279,399804,中证体育,19.0,,,,,0,,,,
280,399805,互联金融,82.0,,,,,0,,,,
281,399806,环境治理,50.0,绿色/ESG,,,,0,,,,
282,399807,高铁产业,26.0,,,,,0,,,,
283,399808,中证新能,80.0,绿色/ESG,,,,0,,,,
284,399809,保险主题,20.0,,,,,0,,,,
285,399810,CSSW传媒,50.0,,,,,0,,,,
286,399811,CSSW电子,96.0,,,,,0,,,,
287,399812,养老产业,80.0,,,,,0,,,,
288,399813,中证国安,164.0,,,,,0,,,,
289,399814,大农业,50.0,,,,,0,,,,
290,399817,生态100,79.0,绿色/ESG,,,,0,,,,
291,399959,军工指数,48.0,,,,,0,,,,
292,399965,800地产,46.0,,,,,0,,,,
293,399966,800证保,45.0,,,,,0,,,,
294,399967,中证军工,47.0,,,,,0,,,,
295,399970,移动互联,100.0,,,,,0,,,,
296,399972,300深市,114.0,,,,,0,,,,
297,399973,中证国防,30.0,,,,,0,,,,
298,399974,国企改革,100.0,国企改革,,,,0,,,,
299,399975,证券公司,34.0,,,,,0,,,,
300,399976,CS新能车,37.0,绿色/ESG,,,,0,,,,
301,399983,地产等权,16.0,,,,,0,,,,
302,399986,中证银行,26.0,,,,,0,,,,
303,399987,中证酒,27.0,,,,,0,,,,
304,399989,中证医疗,39.0,,,,,0,,,,
305,399990,煤炭等权,29.0,,,,,0,,,,
306,399991,一带一路,80.0,,,,,0,,,,
307,399992,CSWD并购,86.0,事件驱动,,,,0,,,,
308,399993,CSWD生科,45.0,,,,,0,,,,
309,399994,信息安全,100.0,,,,,0,,,,
310,399995,基建工程,50.0,,,,,0,,,,
311,399996,智能家居,100.0,,,,,0,,,,
312,399997,中证白酒,17.0,,,,,0,,,,
313,399998,中证煤炭,29.0,,,,,0,,,,
