2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '许老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '汤老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '詹老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '杨老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '刘老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '李老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '梅老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '秦老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '沈老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '于老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '张老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '林老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '王老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '朱老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '秦老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '牛老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '杨老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '郭老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '王老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '王老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '姚老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '赵老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '张老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '韦老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '李老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '史老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '赵老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '刘老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '齐老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '盛老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '范老师', 'title': '高级讲师', 'hello': 'world'}
