0|000622|贸易-乙二醇|39|
0|000623|中药|94|
0|000625|销售商品|95|
0|000626|液化类商品贸易|95|
0|000627|保险产品|84|
0|000628|建筑施工|92|
0|000629|钒产品|86|
0|000630|铜产品|100|
0|000631|其他业务收入|79|
0|000632|化工产品|70|
0|000633|合金棒材|74|
0|000635|PVC|85|
0|000636|电子元器件及电子材料|76|
0|000637|自产产品|58|
0|000638|粮食加工及销售|59|
0|000639|植物油|70|
0|000650|药品|100|
0|000651|空调|95|
0|000652|化工及金属制品贸易|64|
0|000655|铁精粉|92|
0|000656|房地产销售及运营|37|
0|000657|其他硬质合金|86|
0|000659|饮料包装制品|51|
0|000661|基因工程/生物类药品|94|
0|000663|木材|29|
0|000665|电视业务收入|85|
0|000666|纺织机械及纺织品销售|100|
0|000667|房地产|53|
0|000668|医疗器械销售|58|
0|000669|天然气|1|
0|000670|主动件类产品|69|
0|000671|房地产行业|1|
0|000672|水泥|90|
0|000676|数字营销业务|57|
0|000677|帘帆布|90|
0|000678|轴承|77|
0|000679|零售业|64|
0|000680|工程机械主机|87|
0|000681|视觉内容与服务|80|
0|000682|智能配用电业务|95|
0|000683|尿素-自产|100|
0|000685|水务板块|100|
0|000686|证券经纪业务|75|
0|000688|锌精矿|67|
0|000690|电力|79|
0|000691|化工产品|41|
0|000692|供暖供气|1|
0|000695|印刷产品|64|
0|000697|商用航空部件|5|
0|000698|聚醚|85|
0|000700|塑化汽车装饰件|69|
0|000701|贸易|52|
0|000702|饲料销售|57|
0|000703|供应链服务|84|
0|000705|商业-批发|100|
0|000707|联碱及其他化工产品|95|
0|000708|合金钢棒材|100|
0|000709|板材|72|
0|000710|医学检测服务|65|
0|000711|土壤修复|34|
0|000712|证券经纪业务|67|
0|000713|农化产品|100|
0|000715|零售|100|
0|000716|电商业|69|
0|000717|螺纹钢|77|
0|000718|房地产|100|
0|000719|发行业务-图书|100|
0|000720|供应链业务|73|
0|000721|餐饮收入|68|
0|000722|自然资源|80|
0|000723|焦化产品及副产品|100|
0|000725|显示器件业务|90|
0|000726|面料产品|94|
0|000727|显示器产品|64|
0|000728|证券及期货经纪业务|100|
0|000729|啤酒|100|
0|000731|天然气供应|100|
0|000732|房地产|1|
0|000733|新型电子元器件|89|
0|000735|肉制品|77|
0|000736|房地产销售|60|
0|000737|阴极铜|71|
0|000738|航空发动机及燃气轮机控制系统|78|
0|000739|原料药中间体|100|
0|000750|投资管理业务|72|
0|000751|有色金属贸易|85|
0|000752|普通瓶装啤酒628ml*12|1|
0|000753|汽车销售|89|
0|000755|高速公路特许经营项目收入|74|
0|000756|片剂、针剂、胶囊剂等制剂|100|
0|000757|整车销售|85|
0|000758|有色金属|100|
0|000759|营业收入|67|
0|000761|钢板|69|
0|000762|锂类产品|89|
0|000766|化学药|87|
0|000767|火电电力|42|
0|000768|航空产品|64|
0|000776|财富管理业务|85|
0|000777|其他特阀（石油、石化、电力等）|90|
0|000778|铸管及管铸件|87|
0|000779|其他|100|
0|000782|切片|82|
0|000783|经纪及证券金融业务|90|
0|000785|租赁及其管理业务|100|
0|000786|石膏板|95|
0|000788|药品流通-药品|70|
0|000789|水泥|90|
0|000790|中西成药|95|
0|000791|水电产品|67|
0|000792|氯化钾|79|
0|000793|信息传播服务业|82|
0|000795|钕铁硼|100|
0|000796|航空配餐及服务|1|
0|000797|房地产开发产品|100|
0|000798|金枪鱼|90|
0|000799|酒鬼系列|100|
0|000800|商用车|62|
0|000801|智能终端产品|87|
0|000802|电视剧网剧|11|
0|000803|工业级混合油加工和销售|68|
0|000806|电气设备|1|
0|000807|铝加工产品|84|
0|000809|供水|34|
0|000810|智能终端|95|
0|000811|工业产品销售|95|
0|000812|烟标|71|
0|000813|药品销售|90|
0|000815|文化纸|80|
0|000816|内燃机及终端产品|85|
0|000818|液碱|75|
0|000819|能源化工|92|
0|000820|定制设备集成|37|
0|000821|光伏自动化生产线|95|
0|000822|纯碱|100|
0|000823|印制线路板|90|
0|000825|不锈钢材|72|
0|000826|环卫服务业务|41|
0|000828|PPP项目建设服务收入|86|
0|000829|通信产品销售|57|
0|000830|化工新材料产品|63|
0|000831|稀土氧化物|89|
0|000833|加工贸易糖|100|
0|000836|光通信网络产品|81|
0|000837|机床类|95|
0|000838|房地产销售|42|
