,Corr
600000,0.7754483699241114
600011,0.3685647050758836
600015,0.9290901885646675
600016,0.9356560979554046
600023,0.9000632593443127
600028,0.6444300796128676
600061,0.8297686372922989
600066,-0.6647981490460898
600085,0.9218479430607134
600089,0.12177800749513575
600104,0.7252755754145548
600109,0.7002714052807387
600115,-0.21617293169370583
600118,-0.4757890387202888
600153,0.8085382638320335
600170,0.8976703279154253
600177,0.7360006700181211
600221,0.5606599595912508
600376,0.8159525772116845
600415,0.5933093679531485
600482,-0.3971356291692845
600489,0.1386086936583217
600518,-0.5427140222499304
600535,0.4890285397181483
600637,0.601670658117373
600660,-0.6286043381458927
600663,0.3207879089321098
600674,-0.6450852849578158
600682,0.23092606480837224
600688,-0.14768727860066425
600704,0.7307412838544403
600705,0.7048520122666296
600739,0.6949274248834576
600795,0.6633316161255792
600820,-0.0780893064581351
600837,0.9515480335444958
600886,-0.4684894209845717
600900,0.05247395960984313
600919,0.9439012893517492
600926,0.9201219252369971
600958,0.8748804298073779
600959,-0.7556490145040529
600977,0.7120468022560844
600999,0.9409798563931815
601006,0.8642609075605893
601009,0.817360471389051
601018,0.3613724237617374
601099,0.6066940450920683
601166,0.7778738221135572
601169,0.9325843911696108
601186,0.897057715452114
601198,0.7063048229640125
601211,0.9482688224941213
601229,0.9000781956704835
601238,-0.35978534726964306
601288,0.8946609976978316
601328,0.9380435745525353
601333,-0.5612050851566448
601377,0.9446915824072588
601390,0.7333120382188877
601398,0.857234956935889
601555,0.7147939379824751
601607,-0.48490539133023336
601618,-0.46017429507417273
601633,-0.00542113630800729
601668,0.9422913031013044
601669,0.6650054438901082
601766,-0.26672236566215873
601788,0.9198649514230618
601800,0.8691342782093533
601818,0.9120704596696713
601857,0.9422778631329283
601866,0.30668870971719797
601898,0.7829408079149262
601939,0.8963134231325721
601985,0.7617875475139182
601988,0.9182006441159433
601991,-0.13015556318316593
601997,0.684012581717934
601998,0.8926045015112716
000157,0.3480760621580743
000166,0.8395399223964133
000423,0.9189521601227685
000538,-0.15665659476313581
000623,0.8379320252066778
000625,0.6718368912756401
000630,-0.2966091373071082
000723,-0.2604690535923824
000776,0.9686251575279661
000783,0.8460200501974826
000826,-0.5780222244791333
000876,0.8715479813971139
000895,0.3164019837425093
000963,-0.29822926173842657
002007,-0.691711494842375
002385,0.8007679728810989
002411,-0.023775703609976953
002468,-0.6867496591934201
002602,0.21591687330704923
