,Corr
600000,0.8468872210621528
600015,0.9652756091333885
600115,0.9184472617523699
600291,0.6403835730602905
600361,0.8209326024965663
600638,0.3431086532577663
600795,0.8786242009791966
600886,0.8849777097368345
600909,0.9733701599540013
600999,0.8299334372544929
601169,0.9498912955378576
601318,0.9961667497100503
601336,0.9770487442485338
601601,0.9931412964375771
601628,0.8566660724690549
601818,0.9452733279023922
601857,0.7674522108820568
601880,0.5830545125782026
000627,0.7736009526271013
000728,0.9018783749991413
