,Corr
600066,0.874003855463041
600110,0.9464743768103975
600114,0.814060168382384
600478,0.8555713577595525
600525,0.5104486105431608
600563,0.8909429764396815
600686,0.9486183279556768
600699,0.9613114217802506
600884,0.9581922556460324
600885,0.6671852410985658
603305,0.9471502929975585
603659,0.9328479031127795
603799,-0.16001222677007707
000957,0.9016513053422248
000980,0.911157197358087
002050,0.3343612715496904
002074,0.8870414637436799
002179,0.8314392281361468
002196,0.7713802392177483
002245,0.9794498401932853
002340,0.9714395474733072
002407,0.9099145870753286
002460,0.9464817125215848
002466,0.8542453408368849
002594,0.6176008689122148
002709,0.9257756379277527
002812,0.4340638297539402
300014,0.9815727809103124
300037,0.9431533796274325
300073,0.9521401104541691
300124,0.33304342102304496
300198,-0.06048917471770613
300207,0.7816390418097448
300450,0.9166075096264993
300457,0.7279693031677671
300568,0.732513917467547
300618,-0.11677352586104976
